row,col,R,G,B,R_norm,G_norm,B_norm,brightness
2,8,255,255,255,1.0,1.0,1.0,light
2,9,255,255,255,1.0,1.0,1.0,light
2,10,255,255,255,1.0,1.0,1.0,light
2,11,255,255,255,1.0,1.0,1.0,light
2,12,255,255,255,1.0,1.0,1.0,light
2,13,255,255,255,1.0,1.0,1.0,light
2,14,255,255,255,1.0,1.0,1.0,light
2,15,255,255,255,1.0,1.0,1.0,light
2,16,255,255,255,1.0,1.0,1.0,light
2,17,255,255,255,1.0,1.0,1.0,light
2,18,255,255,255,1.0,1.0,1.0,light
2,19,255,255,255,1.0,1.0,1.0,light
2,20,255,255,255,1.0,1.0,1.0,light
2,21,255,255,255,1.0,1.0,1.0,light
2,22,255,255,255,1.0,1.0,1.0,light
2,23,255,255,255,1.0,1.0,1.0,light
2,24,255,255,255,1.0,1.0,1.0,light
2,25,255,255,255,1.0,1.0,1.0,light
2,26,255,255,255,1.0,1.0,1.0,light
2,27,255,255,255,1.0,1.0,1.0,light
2,28,255,255,255,1.0,1.0,1.0,light
2,29,255,255,255,1.0,1.0,1.0,light
2,30,255,255,255,1.0,1.0,1.0,light
2,31,255,255,255,1.0,1.0,1.0,light
2,32,255,255,255,1.0,1.0,1.0,light
2,33,255,255,255,1.0,1.0,1.0,light
2,34,255,255,255,1.0,1.0,1.0,light
2,35,255,255,255,1.0,1.0,1.0,light
2,36,255,255,255,1.0,1.0,1.0,light
2,37,255,255,255,1.0,1.0,1.0,light
2,38,255,255,255,1.0,1.0,1.0,light
2,39,255,255,255,1.0,1.0,1.0,light
2,40,255,255,255,1.0,1.0,1.0,light
2,41,255,255,255,1.0,1.0,1.0,light
2,42,255,255,255,1.0,1.0,1.0,light
2,43,255,255,255,1.0,1.0,1.0,light
2,44,255,255,255,1.0,1.0,1.0,light
2,45,255,255,255,1.0,1.0,1.0,light
2,46,255,255,255,1.0,1.0,1.0,light
2,47,255,255,255,1.0,1.0,1.0,light
2,48,255,255,255,1.0,1.0,1.0,light
2,49,255,255,255,1.0,1.0,1.0,light
2,50,255,255,255,1.0,1.0,1.0,light
2,51,255,255,255,1.0,1.0,1.0,light
2,52,255,255,255,1.0,1.0,1.0,light
2,53,255,255,255,1.0,1.0,1.0,light
2,54,255,255,255,1.0,1.0,1.0,light
2,55,255,255,255,1.0,1.0,1.0,light
2,56,255,255,255,1.0,1.0,1.0,light
2,57,255,255,255,1.0,1.0,1.0,light
2,58,255,255,255,1.0,1.0,1.0,light
2,59,255,255,255,1.0,1.0,1.0,light
2,60,255,255,255,1.0,1.0,1.0,light
2,61,255,255,255,1.0,1.0,1.0,light
2,62,255,255,255,1.0,1.0,1.0,light
2,63,255,255,255,1.0,1.0,1.0,light
2,64,255,255,255,1.0,1.0,1.0,light
2,65,255,255,255,1.0,1.0,1.0,light
2,66,255,255,255,1.0,1.0,1.0,light
2,67,255,255,255,1.0,1.0,1.0,light
2,68,255,255,255,1.0,1.0,1.0,light
2,69,255,255,255,1.0,1.0,1.0,light
2,70,255,255,255,1.0,1.0,1.0,light
2,71,255,255,255,1.0,1.0,1.0,light
2,72,255,255,255,1.0,1.0,1.0,light
2,73,255,255,255,1.0,1.0,1.0,light
2,74,255,255,255,1.0,1.0,1.0,light
2,75,255,255,255,1.0,1.0,1.0,light
2,76,255,255,255,1.0,1.0,1.0,light
2,77,255,255,255,1.0,1.0,1.0,light
2,78,255,255,255,1.0,1.0,1.0,light
2,79,255,255,255,1.0,1.0,1.0,light
2,80,255,255,255,1.0,1.0,1.0,light
2,81,255,255,255,1.0,1.0,1.0,light
2,82,255,255,255,1.0,1.0,1.0,light
2,83,255,255,255,1.0,1.0,1.0,light
2,84,255,255,255,1.0,1.0,1.0,light
2,85,255,255,255,1.0,1.0,1.0,light
2,86,255,255,255,1.0,1.0,1.0,light
2,87,255,255,255,1.0,1.0,1.0,light
2,88,255,255,255,1.0,1.0,1.0,light
2,89,255,255,255,1.0,1.0,1.0,light
2,90,255,255,255,1.0,1.0,1.0,light
2,91,255,255,255,1.0,1.0,1.0,light
2,92,255,255,255,1.0,1.0,1.0,light
2,93,255,255,255,1.0,1.0,1.0,light
2,94,255,255,255,1.0,1.0,1.0,light
2,95,255,255,255,1.0,1.0,1.0,light
2,96,255,255,255,1.0,1.0,1.0,light
2,97,255,255,255,1.0,1.0,1.0,light
2,98,255,255,255,1.0,1.0,1.0,light
2,99,255,255,255,1.0,1.0,1.0,light
2,100,255,255,255,1.0,1.0,1.0,light
2,101,255,255,255,1.0,1.0,1.0,light
2,102,255,255,255,1.0,1.0,1.0,light
2,103,255,255,255,1.0,1.0,1.0,light
2,104,255,255,255,1.0,1.0,1.0,light
2,105,255,255,255,1.0,1.0,1.0,light
2,106,255,255,255,1.0,1.0,1.0,light
2,107,255,255,255,1.0,1.0,1.0,light
2,108,255,255,255,1.0,1.0,1.0,light
2,109,255,255,255,1.0,1.0,1.0,light
2,110,255,255,255,1.0,1.0,1.0,light
2,111,255,255,255,1.0,1.0,1.0,light
2,112,255,255,255,1.0,1.0,1.0,light
2,113,255,255,255,1.0,1.0,1.0,light
2,114,255,255,255,1.0,1.0,1.0,light
2,115,255,255,255,1.0,1.0,1.0,light
2,116,255,255,255,1.0,1.0,1.0,light
2,117,255,255,255,1.0,1.0,1.0,light
2,118,255,255,255,1.0,1.0,1.0,light
2,119,255,255,255,1.0,1.0,1.0,light
2,120,255,255,255,1.0,1.0,1.0,light
2,121,255,255,255,1.0,1.0,1.0,light
2,122,255,255,255,1.0,1.0,1.0,light
2,123,255,255,255,1.0,1.0,1.0,light
2,124,255,255,255,1.0,1.0,1.0,light
2,125,255,255,255,1.0,1.0,1.0,light
2,126,255,255,255,1.0,1.0,1.0,light
2,127,255,255,255,1.0,1.0,1.0,light
3,0,255,255,255,1.0,1.0,1.0,light
3,1,255,255,255,1.0,1.0,1.0,light
3,2,255,255,255,1.0,1.0,1.0,light
3,3,255,255,255,1.0,1.0,1.0,light
3,4,255,255,255,1.0,1.0,1.0,light
3,5,255,255,255,1.0,1.0,1.0,light
3,6,255,255,255,1.0,1.0,1.0,light
3,7,255,255,255,1.0,1.0,1.0,light
3,8,255,255,255,1.0,1.0,1.0,light
3,9,255,255,255,1.0,1.0,1.0,light
3,10,255,255,255,1.0,1.0,1.0,light
3,11,255,255,255,1.0,1.0,1.0,light
3,12,255,255,255,1.0,1.0,1.0,light
3,13,255,255,255,1.0,1.0,1.0,light
3,14,255,255,255,1.0,1.0,1.0,light
3,15,255,255,255,1.0,1.0,1.0,light
3,16,255,255,255,1.0,1.0,1.0,light
3,17,255,255,255,1.0,1.0,1.0,light
3,18,255,255,255,1.0,1.0,1.0,light
3,19,255,255,255,1.0,1.0,1.0,light
3,20,255,255,255,1.0,1.0,1.0,light
3,21,255,255,255,1.0,1.0,1.0,light
3,22,255,255,255,1.0,1.0,1.0,light
3,23,255,255,255,1.0,1.0,1.0,light
3,24,255,255,255,1.0,1.0,1.0,light
3,25,255,255,255,1.0,1.0,1.0,light
3,26,255,255,255,1.0,1.0,1.0,light
3,27,255,255,255,1.0,1.0,1.0,light
3,28,255,255,255,1.0,1.0,1.0,light
3,29,255,255,255,1.0,1.0,1.0,light
3,30,255,255,255,1.0,1.0,1.0,light
3,31,255,255,255,1.0,1.0,1.0,light
3,32,255,255,255,1.0,1.0,1.0,light
3,33,255,255,255,1.0,1.0,1.0,light
3,34,255,255,255,1.0,1.0,1.0,light
3,35,255,255,255,1.0,1.0,1.0,light
