row,col,R,G,B,R_norm,G_norm,B_norm,brightness,R_minmax,G_minmax,B_minmax
1,33,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,34,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,35,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,36,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,37,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,38,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,39,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,40,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,41,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,42,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,43,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,44,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,45,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,46,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,47,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,48,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,49,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,50,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,51,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,52,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,53,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,54,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,55,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,56,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,57,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,58,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,59,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,60,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,61,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,62,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,63,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,64,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,65,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,66,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,67,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,68,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,69,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,70,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,71,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,72,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,73,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,74,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,75,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,76,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,77,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,78,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,79,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,80,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,81,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,82,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,83,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,84,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,85,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,86,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,87,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,88,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
1,89,255,255,255,1.0,1.0,1.0,light,1.0,1.0,1.0
