row,col,R,G,B,R_norm,G_norm,B_norm,brightness,R_missing,G_missing,B_missing,R_mean_imputed,G_mean_imputed,B_mean_imputed
0,53,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,54,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,55,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,56,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,57,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,58,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,59,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,60,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,61,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,62,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,63,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,64,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,65,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,66,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,67,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,68,255,255,255,1.0,1.0,1.0,light,,255.0,255.0,201.1872626533026,255.0,255.0
0,69,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,70,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,71,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,72,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,73,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,74,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,75,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,76,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,77,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,78,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,79,255,255,255,1.0,1.0,1.0,light,255.0,,255.0,255.0,198.02075412901215,255.0
0,80,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,81,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,82,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,83,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,84,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,85,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,86,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,87,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,88,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,89,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,90,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,91,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,92,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,93,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,94,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,95,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,96,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,97,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,98,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,99,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,100,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,101,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,102,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,103,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,104,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,105,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,106,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,107,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
0,108,255,255,255,1.0,1.0,1.0,light,255.0,255.0,255.0,255.0,255.0,255.0
